formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
6,"F[0,3300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007388792520,0.000000369440,0.369440,general,3300
6,"F[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007273175900,0.000000363659,0.363659,general,3400
6,"F[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007289365900,0.000000364468,0.364468,general,3500
6,"F[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007257839080,0.000000362892,0.362892,general,3600
6,"F[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007255990920,0.000000362800,0.362800,general,3700
6,"F[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007358288260,0.000000367914,0.367914,general,3800
6,"F[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007345057480,0.000000367253,0.367253,general,3900
6,"F[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007294921740,0.000000364746,0.364746,general,4000
6,"F[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007227799940,0.000000361390,0.361390,general,4100
6,"F[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007387665820,0.000000369383,0.369383,general,4200
6,"F[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007417752440,0.000000370888,0.370888,general,4300
6,"F[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007343903380,0.000000367195,0.367195,general,4400
6,"F[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007227240980,0.000000361362,0.361362,general,4500
6,"F[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007184745880,0.000000359237,0.359237,general,4600
6,"F[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007160885860,0.000000358044,0.358044,general,4700
6,"F[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007300346600,0.000000365017,0.365017,general,4800
6,"F[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007193651640,0.000000359683,0.359683,general,4900
6,"F[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007187514980,0.000000359376,0.359376,general,5000
1,(x < 0.5) and (x > -0.5),DelayedQualitative,Incremental,online,20000,50,0.003437485860,0.000000171874,0.171874,general,0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQualitative,Incremental,online,20000,50,0.007770444180,0.000000388522,0.388522,general,1000
3,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQualitative,Incremental,online,20000,50,0.007524319200,0.000000376216,0.376216,general,100
4,"(x < 0.0) U[0,1] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.006483187500,0.000000324159,0.324159,general,1
4,"(x < 0.0) U[0,100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.024562470840,0.000001228124,1.228124,general,100
4,"(x < 0.0) U[0,200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.037589064960,0.000001879453,1.879453,general,200
4,"(x < 0.0) U[0,300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.050808264960,0.000002540413,2.540413,general,300
4,"(x < 0.0) U[0,400] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.061989754240,0.000003099488,3.099488,general,400
4,"(x < 0.0) U[0,500] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.072291420880,0.000003614571,3.614571,general,500
4,"(x < 0.0) U[0,600] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.086674241600,0.000004333712,4.333712,general,600
4,"(x < 0.0) U[0,700] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.099973329940,0.000004998666,4.998666,general,700
4,"(x < 0.0) U[0,800] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.110879841700,0.000005543992,5.543992,general,800
4,"(x < 0.0) U[0,900] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.123485749220,0.000006174287,6.174287,general,900
4,"(x < 0.0) U[0,1000] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.135934825060,0.000006796741,6.796741,general,1000
4,"(x < 0.0) U[0,1100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.150548649260,0.000007527432,7.527432,general,1100
4,"(x < 0.0) U[0,1200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.162999510080,0.000008149976,8.149976,general,1200
4,"(x < 0.0) U[0,1300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.175867100820,0.000008793355,8.793355,general,1300
4,"(x < 0.0) U[0,1400] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.188780177420,0.000009439009,9.439009,general,1400
4,"(x < 0.0) U[0,1500] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.200607020740,0.000010030351,10.030351,general,1500
4,"(x < 0.0) U[0,1600] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.211846786740,0.000010592339,10.592339,general,1600
4,"(x < 0.0) U[0,1700] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.223146296600,0.000011157315,11.157315,general,1700
4,"(x < 0.0) U[0,1800] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.231448577460,0.000011572429,11.572429,general,1800
4,"(x < 0.0) U[0,1900] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.242294493260,0.000012114725,12.114725,general,1900
4,"(x < 0.0) U[0,2000] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.252758106620,0.000012637905,12.637905,general,2000
4,"(x < 0.0) U[0,2100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.267537775880,0.000013376889,13.376889,general,2100
4,"(x < 0.0) U[0,2200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.278600859940,0.000013930043,13.930043,general,2200
4,"(x < 0.0) U[0,2300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.289484756720,0.000014474238,14.474238,general,2300
4,"(x < 0.0) U[0,2400] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.298977480100,0.000014948874,14.948874,general,2400
4,"(x < 0.0) U[0,2500] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.308143524120,0.000015407176,15.407176,general,2500
4,"(x < 0.0) U[0,2600] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.318225981660,0.000015911299,15.911299,general,2600
4,"(x < 0.0) U[0,2700] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.328761984100,0.000016438099,16.438099,general,2700
4,"(x < 0.0) U[0,2800] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.337743490000,0.000016887175,16.887175,general,2800
4,"(x < 0.0) U[0,2900] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.348167546760,0.000017408377,17.408377,general,2900
4,"(x < 0.0) U[0,3000] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.355035325040,0.000017751766,17.751766,general,3000
4,"(x < 0.0) U[0,3100] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.363900710020,0.000018195036,18.195036,general,3100
4,"(x < 0.0) U[0,3200] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.372273562480,0.000018613678,18.613678,general,3200
4,"(x < 0.0) U[0,3300] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.383252650920,0.000019162633,19.162633,general,3300
4,"(x < 0.0) U[0,3400] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.392948503300,0.000019647425,19.647425,general,3400
4,"(x < 0.0) U[0,3500] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.401615724240,0.000020080786,20.080786,general,3500
4,"(x < 0.0) U[0,3600] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.409601729960,0.000020480086,20.480086,general,3600
4,"(x < 0.0) U[0,3700] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.418607001680,0.000020930350,20.930350,general,3700
4,"(x < 0.0) U[0,3800] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.427332148360,0.000021366607,21.366607,general,3800
4,"(x < 0.0) U[0,3900] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.435919852500,0.000021795993,21.795993,general,3900
