formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
156,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.012723743339997783,6.361871669998891e-07,0.6361871669998891,150.0
1,"G[0,1.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.004634892499993839,2.3174462499969192e-07,0.23174462499969192,1.0
2,"G[0,100.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005056434059997628,2.528217029998814e-07,0.2528217029998814,100.0
3,"G[0,200.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.00500684669999373,2.503423349996865e-07,0.2503423349996865,200.0
4,"G[0,300.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.0050928441200176165,2.546422060008808e-07,0.25464220600088083,300.0
5,"G[0,400.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005050160079972557,2.5250800399862785e-07,0.25250800399862783,400.0
6,"G[0,500.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.0050904966400230475,2.5452483200115237e-07,0.2545248320011524,500.0
7,"G[0,600.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.004963437480018911,2.4817187400094555e-07,0.24817187400094556,600.0
8,"G[0,700.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005154349240042393,2.5771746200211966e-07,0.25771746200211965,700.0
9,"G[0,800.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005182037500021579,2.5910187500107897e-07,0.25910187500107895,800.0
10,"G[0,900.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005196503300007862,2.5982516500039313e-07,0.25982516500039315,900.0
11,"G[0,1000.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005101555060005012,2.550777530002506e-07,0.2550777530002506,1000.0
12,"G[0,1100.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005205675779975536,2.602837889987768e-07,0.2602837889987768,1100.0
13,"G[0,1200.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.0051158791800162366,2.5579395900081183e-07,0.2557939590008118,1200.0
14,"G[0,1300.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005063120799986791,2.5315603999933953e-07,0.25315603999933955,1300.0
15,"G[0,1400.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005208628359982867,2.6043141799914335e-07,0.2604314179991434,1400.0
16,"G[0,1500.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005177287519991296,2.588643759995648e-07,0.2588643759995648,1500.0
17,"G[0,1600.0] (x > 0.0)",DelayedQualitative,Incremental,online,20000,50,0.005115935899989381,2.5579679499946904e-07,0.25579679499946906,1600.0
